date,timestamp,open,high,low,close,volume
2025-06-12T00:00:00Z,1749686400000,2771.7,2785.0,2616.33,2642.7,287612.79645
2025-06-13T00:00:00Z,1749772800000,2642.69,2645.55,2436.0,2579.15,452378.029873
2025-06-14T00:00:00Z,1749859200000,2579.29,2579.46,2488.17,2530.8,124381.161368
2025-06-15T00:00:00Z,1749945600000,2530.8,2559.65,2491.82,2547.53,114941.761811
2025-06-16T00:00:00Z,1750032000000,2547.49,2680.26,2514.28,2544.22,317198.703796
2025-06-17T00:00:00Z,1750118400000,2544.49,2619.0,2453.56,2509.85,290880.264113
2025-06-18T00:00:00Z,1750204800000,2510.0,2548.72,2465.63,2524.71,187953.799191
2025-06-19T00:00:00Z,1750291200000,2524.68,2548.0,2485.13,2520.71,105286.781768
2025-06-20T00:00:00Z,1750377600000,2520.72,2569.06,2365.0,2406.74,247804.802608
2025-06-21T00:00:00Z,1750464000000,2406.78,2448.22,2215.3,2295.55,226973.805594
2025-06-22T00:00:00Z,1750550400000,2296.0,2314.39,2111.0,2227.58,367548.786521
2025-06-23T00:00:00Z,1750636800000,2227.58,2439.0,2188.41,2411.52,342035.999026
2025-06-24T00:00:00Z,1750723200000,2411.52,2483.0,2376.0,2448.7,245992.842117
2025-06-25T00:00:00Z,1750809600000,2448.77,2469.0,2389.8,2418.54,172948.926104
2025-06-26T00:00:00Z,1750896000000,2418.55,2520.48,2394.11,2416.35,207104.686154
2025-06-27T00:00:00Z,1750982400000,2416.08,2464.23,2382.27,2423.27,141744.556507
2025-06-28T00:00:00Z,1751068800000,2423.35,2448.0,2405.5,2435.77,64633.574557
2025-06-29T00:00:00Z,1751155200000,2435.77,2525.34,2411.05,2500.57,112910.941625
2025-06-30T00:00:00Z,1751241600000,2500.57,2524.6,2433.47,2485.1,192747.27872
2025-07-01T00:00:00Z,1751328000000,2485.3,2500.71,2385.69,2405.13,177539.774654
2025-07-02T00:00:00Z,1751414400000,2405.13,2619.94,2372.67,2570.59,271897.694154
2025-07-03T00:00:00Z,1751500800000,2570.43,2636.36,2556.37,2590.92,196579.511336
2025-07-04T00:00:00Z,1751587200000,2591.07,2603.04,2474.4,2508.07,165379.665733
2025-07-05T00:00:00Z,1751673600000,2508.07,2529.8,2487.9,2516.21,53531.077206
2025-07-06T00:00:00Z,1751760000000,2516.21,2605.47,2503.19,2570.62,113087.138816
2025-07-07T00:00:00Z,1751846400000,2570.4,2590.73,2511.22,2542.37,117806.640717
2025-07-08T00:00:00Z,1751932800000,2542.38,2628.42,2523.57,2615.18,132600.625048
2025-07-09T00:00:00Z,1752019200000,2615.18,2796.0,2590.0,2768.49,237843.615747
2025-07-10T00:00:00Z,1752105600000,2768.5,3002.99,2755.44,2951.1,324881.691576
2025-07-11T00:00:00Z,1752192000000,2951.11,3039.95,2914.1,2958.49,332550.850776
2025-07-12T00:00:00Z,1752278400000,2958.04,2980.77,2904.39,2943.28,129694.370189
2025-07-13T00:00:00Z,1752364800000,2943.5,3020.38,2936.26,2972.01,152355.511027
2025-07-14T00:00:00Z,1752451200000,2972.22,3083.33,2963.28,3013.79,284688.26735
2025-07-15T00:00:00Z,1752537600000,3013.79,3144.36,2932.73,3137.65,329748.415812
2025-07-16T00:00:00Z,1752624000000,3137.6,3423.99,3101.31,3371.4,393004.135375
2025-07-17T00:00:00Z,1752710400000,3371.4,3524.12,3310.91,3476.89,375770.100567
2025-07-18T00:00:00Z,1752796800000,3476.88,3674.19,3459.06,3547.16,428774.461486
2025-07-19T00:00:00Z,1752883200000,3546.91,3608.58,3507.18,3592.11,133728.978262
2025-07-20T00:00:00Z,1752969600000,3592.11,3824.15,3579.49,3756.92,320192.276299
2025-07-21T00:00:00Z,1753056000000,3757.0,3858.88,3701.17,3762.77,282564.798031
2025-07-22T00:00:00Z,1753142400000,3762.77,3798.94,3617.1,3746.39,347136.043843
2025-07-23T00:00:00Z,1753228800000,3746.59,3764.12,3527.0,3628.82,314570.890233
2025-07-24T00:00:00Z,1753315200000,3628.83,3770.74,3507.02,3707.19,309224.358582
2025-07-25T00:00:00Z,1753401600000,3707.37,3746.69,3573.72,3724.71,283533.500351
2025-07-26T00:00:00Z,1753488000000,3724.94,3795.0,3697.04,3741.67,144207.569145
2025-07-27T00:00:00Z,1753574400000,3741.83,3880.18,3730.72,3872.99,153666.740669
2025-07-28T00:00:00Z,1753660800000,3872.9,3941.79,3753.27,3798.32,241503.582692
2025-07-29T00:00:00Z,1753747200000,3798.32,3886.19,3716.51,3794.0,269515.613285
2025-07-30T00:00:00Z,1753833600000,3794.0,3834.26,3675.98,3810.43,224989.620898
2025-07-31T00:00:00Z,1753920000000,3810.43,3883.06,3685.0,3698.64,197176.408343
2025-08-01T00:00:00Z,1754006400000,3698.24,3724.67,3430.02,3487.88,349371.332851
2025-08-02T00:00:00Z,1754092800000,3487.88,3537.76,3368.0,3394.3,194397.467441
2025-08-03T00:00:00Z,1754179200000,3394.31,3522.0,3355.27,3496.98,125255.184999
2025-08-04T00:00:00Z,1754265600000,3497.0,3737.11,3491.25,3721.2,217909.648002
2025-08-05T00:00:00Z,1754352000000,3721.2,3723.16,3545.0,3612.16,208233.889278
2025-08-06T00:00:00Z,1754438400000,3612.16,3698.79,3564.41,3683.11,136665.412517
2025-08-07T00:00:00Z,1754524800000,3683.11,3927.5,3647.84,3910.1,226234.947788
2025-08-08T00:00:00Z,1754611200000,3910.08,4071.38,3879.34,4009.95,273375.117268
2025-08-09T00:00:00Z,1754697600000,4009.99,4326.69,4006.52,4260.97,265189.115526
2025-08-10T00:00:00Z,1754784000000,4260.98,4332.52,4160.07,4251.13,182535.557903
2025-08-11T00:00:00Z,1754870400000,4250.91,4367.05,4166.07,4223.69,272871.325808
2025-08-12T00:00:00Z,1754956800000,4223.68,4640.42,4218.24,4590.2,338017.295587
2025-08-13T00:00:00Z,1755043200000,4590.2,4784.69,4564.66,4749.94,318054.459988
2025-08-14T00:00:00Z,1755129600000,4750.0,4790.66,4451.16,4546.7,422164.970448
2025-08-15T00:00:00Z,1755216000000,4546.7,4670.68,4367.66,4439.4,260905.640018
2025-08-16T00:00:00Z,1755302400000,4439.4,4490.0,4373.61,4422.4,113543.219877
2025-08-17T00:00:00Z,1755388800000,4422.48,4575.82,4394.56,4472.9,139496.720627
2025-08-18T00:00:00Z,1755475200000,4472.89,4482.96,4226.03,4313.9,310417.622375
2025-08-19T00:00:00Z,1755561600000,4313.83,4356.23,4067.41,4075.71,275173.610539
2025-08-20T00:00:00Z,1755648000000,4075.61,4377.6,4062.66,4336.25,266313.927134
2025-08-21T00:00:00Z,1755734400000,4336.24,4340.12,4204.02,4225.93,144196.092444
2025-08-22T00:00:00Z,1755820800000,4225.7,4887.5,4207.74,4831.6,417484.271513
2025-08-23T00:00:00Z,1755907200000,4831.7,4831.7,4662.85,4778.76,169564.760957
2025-08-24T00:00:00Z,1755993600000,4778.76,4957.98,4708.43,4780.31,293847.532882
2025-08-25T00:00:00Z,1756080000000,4780.35,4797.92,4333.34,4376.72,319872.900756
2025-08-26T00:00:00Z,1756166400000,4376.78,4634.0,4311.48,4600.41,230720.972108
2025-08-27T00:00:00Z,1756252800000,4600.4,4664.0,4481.94,4507.13,179748.721554
2025-08-28T00:00:00Z,1756339200000,4507.14,4634.58,4429.88,4511.68,164902.670573
2025-08-29T00:00:00Z,1756425600000,4511.69,4517.68,4263.85,4360.71,231691.145887
2025-08-30T00:00:00Z,1756512000000,4360.6,4415.88,4257.36,4374.56,98026.889465
