date,timestamp,open,high,low,close,volume
2026-03-28T15:00:00Z,1774710000000,2019.75,2038.81,2017.43,2025.79,234435.081
2026-03-28T16:00:00Z,1774713600000,2025.8,2028.97,2020.01,2023.48,82709.044
2026-03-28T17:00:00Z,1774717200000,2023.48,2026.15,2014.57,2019.85,85580.824
2026-03-28T18:00:00Z,1774720800000,2019.85,2023.99,2019.27,2020.55,33569.231
2026-03-28T19:00:00Z,1774724400000,2020.56,2021.63,2016.09,2019.52,27229.069
2026-03-28T20:00:00Z,1774728000000,2019.52,2025.42,2019.52,2023.49,42176.014
2026-03-28T21:00:00Z,1774731600000,2023.48,2024.58,2005.81,2008.63,80688.887
2026-03-28T22:00:00Z,1774735200000,2008.62,2012.77,2004.01,2010.92,59256.871
2026-03-28T23:00:00Z,1774738800000,2010.93,2010.93,1988.16,1993.48,208513.418
2026-03-29T00:00:00Z,1774742400000,1993.48,1999.46,1990.53,1998.01,83013.676
2026-03-29T01:00:00Z,1774746000000,1998.01,2006.86,1996.5,2003.97,90871.862
2026-03-29T02:00:00Z,1774749600000,2003.98,2009.82,2001.33,2008.19,75034.093
2026-03-29T03:00:00Z,1774753200000,2008.19,2019.0,2005.94,2010.14,111018.78
2026-03-29T04:00:00Z,1774756800000,2010.14,2011.89,2002.8,2004.96,50781.077
2026-03-29T05:00:00Z,1774760400000,2004.96,2006.31,1996.26,2004.13,85005.365
2026-03-29T06:00:00Z,1774764000000,2004.13,2007.45,1998.76,2003.59,48855.732
2026-03-29T07:00:00Z,1774767600000,2003.6,2009.48,1999.0,2005.0,46118.036
2026-03-29T08:00:00Z,1774771200000,2005.0,2006.5,2001.49,2003.2,29350.144
2026-03-29T09:00:00Z,1774774800000,2003.2,2004.5,1993.59,1998.06,88473.225
2026-03-29T10:00:00Z,1774778400000,1998.06,1998.06,1990.4,1994.89,87776.751
2026-03-29T11:00:00Z,1774782000000,1994.88,2007.29,1993.86,2002.65,95157.716
2026-03-29T12:00:00Z,1774785600000,2002.65,2003.98,1996.23,2000.64,47882.911
2026-03-29T13:00:00Z,1774789200000,2000.64,2001.09,1982.21,1986.12,222816.285
2026-03-29T14:00:00Z,1774792800000,1986.12,2001.53,1982.83,1993.13,148842.636
2026-03-29T15:00:00Z,1774796400000,1993.12,1998.85,1985.47,1991.8,114479.802
2026-03-29T16:00:00Z,1774800000000,1991.8,2003.2,1990.88,1996.74,97835.844
2026-03-29T17:00:00Z,1774803600000,1996.73,1999.33,1986.5,1994.29,85982.807
2026-03-29T18:00:00Z,1774807200000,1994.3,2001.0,1990.39,1996.48,64693.471
2026-03-29T19:00:00Z,1774810800000,1996.47,1999.5,1993.34,1995.04,31371.877
2026-03-29T20:00:00Z,1774814400000,1995.05,2008.99,1994.79,2001.57,78460.275
2026-03-29T21:00:00Z,1774818000000,2001.57,2006.85,2000.4,2005.31,47287.978
2026-03-29T22:00:00Z,1774821600000,2005.32,2005.42,1936.54,1972.83,671644.1
2026-03-29T23:00:00Z,1774825200000,1972.83,1993.8,1972.27,1983.44,329758.772
2026-03-30T00:00:00Z,1774828800000,1983.45,2023.28,1978.7,1996.43,417147.91
2026-03-30T01:00:00Z,1774832400000,1996.43,2015.6,1996.09,2009.62,158282.853
2026-03-30T02:00:00Z,1774836000000,2009.63,2043.26,2006.5,2028.88,402913.288
2026-03-30T03:00:00Z,1774839600000,2028.88,2041.0,2026.24,2034.97,152978.29
2026-03-30T04:00:00Z,1774843200000,2034.97,2051.84,2034.97,2047.26,218669.606
2026-03-30T05:00:00Z,1774846800000,2047.25,2058.27,2043.16,2046.82,208221.665
2026-03-30T06:00:00Z,1774850400000,2046.83,2051.17,2040.08,2041.5,129797.094
2026-03-30T07:00:00Z,1774854000000,2041.5,2067.78,2040.5,2058.7,236228.617
2026-03-30T08:00:00Z,1774857600000,2058.69,2075.0,2057.29,2061.41,226879.849
2026-03-30T09:00:00Z,1774861200000,2061.42,2062.3,2052.92,2054.26,114646.433
2026-03-30T10:00:00Z,1774864800000,2054.26,2057.81,2046.4,2057.1,106014.829
2026-03-30T11:00:00Z,1774868400000,2057.1,2086.99,2056.83,2070.4,321781.501
2026-03-30T12:00:00Z,1774872000000,2070.4,2078.01,2068.04,2073.72,134138.138
2026-03-30T13:00:00Z,1774875600000,2073.72,2084.82,2056.77,2059.96,347321.158
2026-03-30T14:00:00Z,1774879200000,2059.95,2075.48,2042.88,2070.52,415877.667
2026-03-30T15:00:00Z,1774882800000,2070.53,2078.78,2060.68,2073.4,226449.899
2026-03-30T16:00:00Z,1774886400000,2073.39,2074.0,2057.24,2065.07,141257.344
2026-03-30T17:00:00Z,1774890000000,2065.07,2071.47,2030.3,2040.67,378942.546
2026-03-30T18:00:00Z,1774893600000,2040.66,2043.18,2026.53,2031.55,219081.887
2026-03-30T19:00:00Z,1774897200000,2031.54,2031.76,2012.14,2022.69,279102.44
2026-03-30T20:00:00Z,1774900800000,2022.69,2026.8,2019.84,2022.27,94807.558
2026-03-30T21:00:00Z,1774904400000,2022.27,2049.21,2020.0,2034.82,252606.848
2026-03-30T22:00:00Z,1774908000000,2034.82,2043.55,2028.45,2032.22,92208.663
2026-03-30T23:00:00Z,1774911600000,2032.22,2032.25,2012.59,2025.69,182618.885
2026-03-31T00:00:00Z,1774915200000,2025.69,2040.71,2015.25,2035.78,226176.897
2026-03-31T01:00:00Z,1774918800000,2035.78,2093.0,2031.08,2072.2,562352.817
2026-03-31T02:00:00Z,1774922400000,2072.2,2082.5,2066.47,2072.08,136195.911
2026-03-31T03:00:00Z,1774926000000,2072.08,2075.89,2061.0,2065.92,114451.16
2026-03-31T04:00:00Z,1774929600000,2065.91,2071.42,2056.0,2059.91,129123.245
2026-03-31T05:00:00Z,1774933200000,2059.9,2068.38,2053.74,2063.39,107401.904
2026-03-31T06:00:00Z,1774936800000,2063.39,2064.0,2053.88,2061.29,98256.86
2026-03-31T07:00:00Z,1774940400000,2061.29,2062.0,2040.88,2055.0,193885.346
2026-03-31T08:00:00Z,1774944000000,2054.99,2058.66,2034.42,2038.89,182127.237
2026-03-31T09:00:00Z,1774947600000,2038.88,2043.62,2011.25,2017.28,363231.511
2026-03-31T10:00:00Z,1774951200000,2017.27,2029.3,2015.85,2025.26,153091.646
2026-03-31T11:00:00Z,1774954800000,2025.26,2043.57,2021.68,2040.23,268405.017
2026-03-31T12:00:00Z,1774958400000,2040.23,2057.19,2033.89,2046.78,288288.775
2026-03-31T13:00:00Z,1774962000000,2046.78,2079.36,2046.78,2074.36,313868.104
2026-03-31T14:00:00Z,1774965600000,2074.35,2091.49,2036.3,2045.2,762770.76
