date,timestamp,open,high,low,close,volume
2026-04-07T04:10:00Z,1775535000000,68630.7,68649.4,68592.1,68637.6,312.683
2026-04-07T04:15:00Z,1775535300000,68637.5,68652.9,68530.1,68572.1,362.952
2026-04-07T04:20:00Z,1775535600000,68572.0,68597.4,68510.5,68563.1,330.239
2026-04-07T04:25:00Z,1775535900000,68563.1,68612.1,68556.1,68572.5,297.292
2026-04-07T04:30:00Z,1775536200000,68572.4,68798.0,68572.4,68789.7,420.058
2026-04-07T04:35:00Z,1775536500000,68789.7,68846.0,68773.8,68812.6,579.984
2026-04-07T04:40:00Z,1775536800000,68812.7,68824.5,68792.5,68822.0,192.593
2026-04-07T04:45:00Z,1775537100000,68822.0,68955.6,68794.6,68932.3,786.123
2026-04-07T04:50:00Z,1775537400000,68932.2,68932.2,68830.3,68843.1,276.401
2026-04-07T04:55:00Z,1775537700000,68843.1,68857.6,68811.5,68819.3,175.019
2026-04-07T05:00:00Z,1775538000000,68819.2,68831.0,68756.1,68768.1,246.656
2026-04-07T05:05:00Z,1775538300000,68768.1,68800.0,68756.7,68799.9,139.104
2026-04-07T05:10:00Z,1775538600000,68800.0,68800.0,68760.0,68770.0,140.755
2026-04-07T05:15:00Z,1775538900000,68770.0,68805.7,68691.5,68748.9,448.521
2026-04-07T05:20:00Z,1775539200000,68749.0,68789.1,68695.8,68721.5,137.667
2026-04-07T05:25:00Z,1775539500000,68721.4,68735.6,68648.7,68670.0,156.436
2026-04-07T05:30:00Z,1775539800000,68669.9,68674.3,68627.4,68645.7,167.802
2026-04-07T05:35:00Z,1775540100000,68645.6,68720.8,68623.1,68703.2,232.347
2026-04-07T05:40:00Z,1775540400000,68703.2,68707.9,68604.0,68614.9,125.803
2026-04-07T05:45:00Z,1775540700000,68614.8,68635.3,68608.0,68613.6,173.941
2026-04-07T05:50:00Z,1775541000000,68613.5,68661.4,68600.0,68633.0,166.697
2026-04-07T05:55:00Z,1775541300000,68632.9,68638.0,68577.6,68627.5,420.108
2026-04-07T06:00:00Z,1775541600000,68627.4,68627.4,68557.4,68599.0,271.439
2026-04-07T06:05:00Z,1775541900000,68598.9,68635.9,68491.6,68533.7,432.611
2026-04-07T06:10:00Z,1775542200000,68533.7,68570.8,68450.0,68490.0,485.4
2026-04-07T06:15:00Z,1775542500000,68489.9,68527.4,68440.9,68471.0,206.768
2026-04-07T06:20:00Z,1775542800000,68471.0,68557.9,68400.6,68506.6,627.562
2026-04-07T06:25:00Z,1775543100000,68506.6,68554.0,68506.6,68539.1,252.173
2026-04-07T06:30:00Z,1775543400000,68539.1,68552.4,68467.0,68474.1,151.644
2026-04-07T06:35:00Z,1775543700000,68474.1,68545.5,68450.0,68516.3,242.296
2026-04-07T06:40:00Z,1775544000000,68516.2,68534.6,68450.0,68524.0,238.725
2026-04-07T06:45:00Z,1775544300000,68523.9,68560.8,68468.9,68507.8,243.672
2026-04-07T06:50:00Z,1775544600000,68507.9,68579.5,68492.5,68555.2,188.887
2026-04-07T06:55:00Z,1775544900000,68555.3,68564.4,68527.1,68540.0,164.112
2026-04-07T07:00:00Z,1775545200000,68539.9,68546.9,68470.8,68515.7,173.219
2026-04-07T07:05:00Z,1775545500000,68515.8,68515.8,68470.0,68489.4,177.179
2026-04-07T07:10:00Z,1775545800000,68489.5,68540.8,68470.0,68526.9,112.409
2026-04-07T07:15:00Z,1775546100000,68526.8,68578.0,68506.1,68521.7,161.94
2026-04-07T07:20:00Z,1775546400000,68521.5,68571.9,68470.0,68571.9,170.205
2026-04-07T07:25:00Z,1775546700000,68571.9,68630.5,68527.0,68546.3,223.033
2026-04-07T07:30:00Z,1775547000000,68546.3,68677.8,68546.3,68623.3,256.89
2026-04-07T07:35:00Z,1775547300000,68623.3,68645.9,68600.0,68609.9,168.7
2026-04-07T07:40:00Z,1775547600000,68609.9,68645.1,68609.7,68645.1,133.134
2026-04-07T07:45:00Z,1775547900000,68645.0,68650.0,68612.8,68639.1,125.904
2026-04-07T07:50:00Z,1775548200000,68639.0,68643.6,68605.0,68632.4,135.587
2026-04-07T07:55:00Z,1775548500000,68632.4,68641.2,68569.7,68592.1,203.025
2026-04-07T08:00:00Z,1775548800000,68592.0,68813.5,68570.7,68648.9,720.408
2026-04-07T08:05:00Z,1775549100000,68648.9,68652.4,68595.5,68649.9,196.546
